A,B,column1
Trigonometric_functions,Vertex_(geometry),1
Midpoint,Diagonal,0
Line_segment,Edge_(geometry),0
Rectangle,Two-dimensional_space,0
Parallel_(geometry),Parallelogram,0
Angle,Geometry,1
Vertex_(geometry),Triangle,0
Arc_(geometry),Tangent,0
Slope,Distance,0
Geometry,Polygon,0
Point_(geometry),Parallel_(geometry),0
Distance,Altitude_(triangle),0
Polyhedron,Trapezoid,0
Quadrilateral,Angle,1
Hexagon,Edge_(geometry),1
Rectangle,Line_segment,1
Circumference,Sphere,0
Similarity_(geometry),Sine,0
Circumference,Rhombus,0
Geometry,Secant_line,0
Angle,Rectangle,0
Arc_length,Geometry,1
Line_segment,Angle_bisector_theorem,0
Angle,Skew_lines,0
Bisection,Acute_and_obtuse_triangles,0
Prism_(geometry),Perpendicular,0
Congruence_(geometry),Similarity_(geometry),0
Line_(geometry),Pentagon,0
Right_triangle,Vertex_(geometry),1
Exterior_angle_theorem,Vertex_(geometry),1
Congruence_(geometry),Translation_(geometry),0
Star_polygon,Geometry,1
Perpendicular,Altitude_(triangle),0
Angle,Tessellation,0
Vertex_(geometry),Pentagon,0
Triangle,Angle,1
Circle,Circumference,0
Parallel_(geometry),Plane_(geometry),0
Bisection,Rhombus,0
Convex_polygon,Rhombus,0
Angle,Heptagon,0
Line_(geometry),Exterior_angle_theorem,0
Tangent,Cone,0
Radius,Point_(geometry),1
Square,Point_(geometry),1
Diagonal,Geometry,1
Rotation_(mathematics),Reflection_symmetry,0
Pentagon,Circle,0
Rotation_(mathematics),Line_(geometry),1
Isosceles_triangle,Polygon,1
Tangent,Acute_and_obtuse_triangles,0
Line_(geometry),Reflection_(mathematics),0
Collinearity,Geometry,1
Geometry,Cartesian_coordinate_system,0
Similarity_(geometry),Equilateral_triangle,0
Triangle,Distance,0
Star_polygon,Octagon,0
Polygon,Dodecagon,0
Concentric,Circle,0
Equilateral_triangle,Triangle,1
Polygon,Vertex_(geometry),1
Rhombus,Midpoint,0
Polygon,Internal_and_external_angle,0
Sine,Polygon,1
Triangle,Sine,0
Angle,Exterior_angle_theorem,0
Nonagon,Geometry,1
Cylinder_(geometry),Diameter,0
Internal_and_external_angle,Star_polygon,0
Dodecagon,Vertex_(geometry),1
Perpendicular,Cross_section_(geometry),0
Pentagon,Internal_and_external_angle,0
Skew_lines,Point_(geometry),1
Pythagorean_theorem,Acute_and_obtuse_triangles,0
Altitude_(triangle),Circle,0
Symmetry,Scaling_(geometry),0
Slope,Point_(geometry),1
Plane_(geometry),Sphere,0
Inverse_trigonometric_functions,Edge_(geometry),1
Rotation_(mathematics),Plane_(geometry),0
Right_triangle,Line_segment,1
Polyhedron,Face_(geometry),1
Line_segment,Isosceles_triangle,0
Geometry,Line_segment,0
Parallelogram,Line_(geometry),1
Radius,Cone,0
Star_polygon,Decagon,0
Arc_length,Radius,0
Pentagon,Geometry,1
Exterior_angle_theorem,Circle,0
Point_(geometry),Rhombus,0
Circumference,Geometry,1
Angle,Altitude_(triangle),0
Rigid_transformation,Translation_(geometry),1
Point_(geometry),Altitude_(triangle),0
Point_(geometry),Plane_(geometry),0
Star_polygon,Tessellation,0
Angle,Hexagon,0
Geometry,Parallel_(geometry),0
Tessellation,Sphere,0
Edge_(geometry),Tessellation,0
Isosceles_triangle,Rhombus,0
Perpendicular,Kite_(geometry),0
Trigonometric_functions,Geometry,1
Symmetry,Reflection_symmetry,0
Similarity_(geometry),Distance,0
Pythagorean_theorem,Angle,1
Line_(geometry),Triangle,0
Reflection_symmetry,Distance,0
Diagonal,Polygon,1
Rectangle,Similarity_(geometry),0
Line_segment,Special_right_triangles,0
Geometry,Translation_(geometry),0
Angle,Octagon,0
Square,Two-dimensional_space,0
Circle,Perpendicular,0
Triangle,Diameter,0
Symmetry,Self-similarity,0
Quadrilateral,Line_segment,1
Line_(geometry),Rotation_(mathematics),0
Triangle,Congruence_(geometry),0
Equilateral_triangle,Pythagorean_theorem,0
Midpoint,Bisection,0
Triangle,Angle_bisector_theorem,0
Point_(geometry),Skew_lines,0
Prism_(geometry),Rectangle,0
Translation_(geometry),Symmetry,1
Polygon,Line_(geometry),1
Line_(geometry),Parallel_(geometry),0
Internal_and_external_angle,Angle,1
Special_right_triangles,Point_(geometry),1
Dodecagon,Two-dimensional_space,0
Pyramid_(geometry),Isosceles_triangle,0
Pentagon,Line_segment,1
Altitude_(triangle),Acute_and_obtuse_triangles,0
Parallelogram,Polygon,1
Pentagon,Quadrilateral,0
Congruence_(geometry),Face_(geometry),0
Kite_(geometry),Polygon,1
Triangle,Tangent,0
Line_segment,Decagon,0
Coordinate_system,Sine,0
Angle,Prism_(geometry),0
Reflection_symmetry,Circle,0
Arc_(geometry),Arc_length,0
Perpendicular,Pyramid_(geometry),0
Tangent,Line_segment,1
Arc_(geometry),Circle,1
Right_triangle,Angle,1
Transversal_(geometry),Point_(geometry),1
Line_segment,Tangent,0
Pyramid_(geometry),Rhombus,0
Prism_(geometry),Angle,1
Rectangle,Parallel_(geometry),1
Line_(geometry),Polygon,0
Quadrilateral,Geometry,1
Quadrilateral,Point_(geometry),1
Line_(geometry),Pythagorean_theorem,0
Plane_(geometry),Line_(geometry),0
Grade_(slope),Line_(geometry),1
Rotational_symmetry,Symmetry,1
Edge_(geometry),Exterior_angle_theorem,0
Line_(geometry),Dodecagon,0
Point_(geometry),Edge_(geometry),0
Pythagorean_theorem,Right_angle,1
Octagon,Geometry,1
Equilateral_triangle,Tessellation,0
Square,Bisection,0
Coordinate_system,Two-dimensional_space,1
Equilateral_triangle,Pyramid_(geometry),0
Rectangle,Circle,0
Plane_(geometry),Cross_section_(geometry),0
Square,Vertex_(geometry),1
Triangle,Bisection,0
Triangle,Cartesian_coordinate_system,0
Line_(geometry),Altitude_(triangle),0
Polygon,Pythagorean_theorem,0
Line_segment,Diameter,0
Altitude_(triangle),Trigonometric_functions,0
Parallelogram,Diagonal,0
Point_(geometry),Right_triangle,0
Dodecagon,Edge_(geometry),1
Angle,Right_triangle,0
Pentagon,Hexagon,0
Face_(geometry),Line_segment,0
Parallel_(geometry),Congruence_(geometry),0
Polygon,Diagonal,0
Inverse_trigonometric_functions,Right_triangle,0
Midpoint,Triangle,0
Sine,Angle,1
Tangent,Geometry,1
Geometry,Pyramid_(geometry),0
Cartesian_coordinate_system,Coordinate_system,1
Geometry,Rotation_(mathematics),0
Face_(geometry),Prism_(geometry),0
Geometry,Face_(geometry),0
Prism_(geometry),Vertex_(geometry),1
Congruence_(geometry),Angle,1
Parallelogram,Edge_(geometry),1
Line_(geometry),Nonagon,0
Polygon,Triangle,0
Convex_polygon,Diameter,0
Trigonometric_functions,Polygon,1
Square,Tessellation,0
Pentagon,Special_right_triangles,0
Pentagon,Two-dimensional_space,0
Heptagon,Vertex_(geometry),1
Rotational_symmetry,Angle,1
Pyramid_(geometry),Line_segment,1
Similarity_(geometry),Trapezoid,0
Reflection_(mathematics),Two-dimensional_space,0
Right_angle,Pythagorean_theorem,0
Line_(geometry),Edge_(geometry),0
Circle,Rotational_symmetry,0
Quadrilateral,Circle,0
Cylinder_(geometry),Distance,0
Line_segment,Nonagon,0
Line_(geometry),Sine,0
Geometry,Grade_(slope),0
Congruence_(geometry),Circle,0
Inverse_trigonometric_functions,Trigonometric_functions,1
Trigonometric_functions,Edge_(geometry),1
Point_(geometry),Slope,0
Circle,Arc_(geometry),0
Internal_and_external_angle,Transversal_(geometry),0
Chord_(geometry),Geometry,1
Angle_bisector_theorem,Altitude_(triangle),0
Vertex_(geometry),Kite_(geometry),0
Circle,Pythagorean_theorem,0
Coordinate_system,Point_(geometry),1
Line_segment,Hendecagon,0
Decagon,Geometry,1
Geometry,Diameter,0
Polygon,Equilateral_triangle,0
Edge_(geometry),Line_segment,1
Point_(geometry),Triangle_inequality,0
Rigid_transformation,Rotation_(mathematics),1
Square,Quadrilateral,1
Triangle_inequality,Cone,0
Trapezoid,Angle,1
Geometry,Angle_bisector_theorem,0
Edge_(geometry),Polyhedron,0
Heptagon,Angle,1
Rectangle,Parallelogram,1
Similarity_(geometry),Scale_factor,0
Radius,Circle,1
Rigid_transformation,Geometry,1
Quadrilateral,Diagonal,0
Slope,Grade_(slope),0
Cone,Polygon,0
Coordinate_system,Sphere,0
Rectangle,Angle,1
Pythagorean_theorem,Convex_polygon,0
Pythagorean_theorem,Triangle,1
Sphere,Geometry,1
Geometry,Vertex_(geometry),0
Angle,Nonagon,0
Edge_(geometry),Quadrilateral,0
Angle,Dodecagon,0
Collinearity,Hexagon,0
Geometry,Acute_and_obtuse_triangles,0
Rhombus,Parallel_(geometry),1
Geometry,Transversal_(geometry),0
Pythagorean_triple,Triangle,1
Geometry,Arc_length,0
Polygon,Sphere,0
Hendecagon,Angle,1
Equilateral_triangle,Right_triangle,0
Secant_line,Point_(geometry),1
Line_segment,Angle,0
Prism_(geometry),Cross_section_(geometry),0
Geometry,Coordinate_system,0
Polygon,Rotational_symmetry,0
Triangle,Rectangle,0
Transversal_(geometry),Angle,1
Inverse_trigonometric_functions,Line_(geometry),1
Bisection,Collinearity,0
Prism_(geometry),Point_(geometry),1
Parallelogram,Distance,0
Circumference,Trapezoid,0
Arc_(geometry),Angle,0
Symmetry,Altitude_(triangle),0
Line_(geometry),Grade_(slope),0
Right_triangle,Distance,0
Altitude_(triangle),Right_triangle,0
Bisection,Internal_and_external_angle,0
Quadrilateral,Tangent,0
Polygon,Geometry,1
Circumference,Circle,1
Rectangle,Midpoint,0
Isosceles_triangle,Kite_(geometry),0
Point_(geometry),Triangle,0
Inverse_trigonometric_functions,Polygon,1
Face_(geometry),Polyhedron,0
Polygon,Heptagon,0
Bisection,Convex_polygon,0
Star_polygon,Hexagon,0
Congruence_(geometry),Sine,0
Geometry,Cross_section_(geometry),0
Right_triangle,Kite_(geometry),0
Diagonal,Vertex_(geometry),1
Geometry,Right_triangle,0
Midpoint,Polygon,0
Diagonal,Line_segment,1
Rectangle,Tessellation,0
Trigonometric_functions,Triangle,1
Edge_(geometry),Dodecagon,0
Diameter,Midpoint,0
Triangle,Line_(geometry),1
Triangle,Exterior_angle_theorem,0
Sine,Triangle,1
Point_(geometry),Internal_and_external_angle,0
Perpendicular,Bisection,0
Trigonometric_functions,Radius,0
Prism_(geometry),Cylinder_(geometry),0
Line_(geometry),Point_(geometry),1
Quadrilateral,Trapezoid,0
Rotational_symmetry,Rotation_(mathematics),1
Convex_polygon,Vertex_(geometry),1
Reflection_(mathematics),Perpendicular,0
Point_(geometry),Perpendicular,0
Vertex_(geometry),Acute_and_obtuse_triangles,0
Cylinder_(geometry),Sphere,0
Acute_and_obtuse_triangles,Angle,1
Geometry,Altitude_(triangle),0
Edge_(geometry),Geometry,1
Point_(geometry),Heptagon,0
Vertex_(geometry),Dodecagon,0
Line_(geometry),Slope,0
Trapezoid,Point_(geometry),1
Pentagon,Star_polygon,0
Parallelogram,Geometry,1
Angle_bisector_theorem,Angle,1
Kite_(geometry),Geometry,1
Polygon,Decagon,0
Scaling_(geometry),Similarity_(geometry),0
Triangle,Midpoint,0
Cartesian_coordinate_system,Plane_(geometry),1
Quadrilateral,Bisection,0
Angle,Grade_(slope),0
Point_(geometry),Grade_(slope),0
Right_triangle,Square,0
Circle,Arc_length,0
Skew_lines,Plane_(geometry),1
Triangle_inequality,Polygon,1
Hexagon,Polygon,1
Prism_(geometry),Face_(geometry),1
Line_(geometry),Transversal_(geometry),0
Point_(geometry),Pythagorean_theorem,0
Edge_(geometry),Pyramid_(geometry),0
Line_segment,Star_polygon,0
Symmetry,Rotation_(mathematics),0
Angle,Rhombus,0
Cylinder_(geometry),Cone,0
Pythagorean_triple,Edge_(geometry),1
Geometry,Internal_and_external_angle,0
Midpoint,Geometry,1
Convex_polygon,Tessellation,0
Midpoint,Vertex_(geometry),0
Bisection,Circle,0
Geometry,Circumference,0
Rectangle,Geometry,1
Polygon,Special_right_triangles,0
Two-dimensional_space,Hexagon,0
Angle,Diameter,0
Geometry,Collinearity,0
Diagonal,Line_(geometry),1
Acute_and_obtuse_triangles,Equilateral_triangle,0
Midpoint,Distance,0
Line_(geometry),Perpendicular,0
Geometry,Reflection_symmetry,0
Point_(geometry),Right_angle,0
Perpendicular,Diagonal,0
Midpoint,Circle,0
Tessellation,Symmetry,0
Tangent,Grade_(slope),0
Parallelogram,Triangle,0
Line_(geometry),Hendecagon,0
Face_(geometry),Geometry,1
Rotation_(mathematics),Translation_(geometry),0
Special_right_triangles,Edge_(geometry),1
Convex_polygon,Isosceles_triangle,0
Octagon,Vertex_(geometry),1
Line_segment,Chord_(geometry),0
Triangle,Vertex_(geometry),1
Equilateral_triangle,Reflection_symmetry,0
Equilateral_triangle,Hexagon,0
Geometry,Nonagon,0
Special_right_triangles,Angle,1
Triangle,Quadrilateral,0
Parallel_(geometry),Sphere,0
Polygon,Trigonometric_functions,0
Line_segment,Sine,0
Angle,Kite_(geometry),0
Arc_length,Angle,0
Two-dimensional_space,Cartesian_coordinate_system,0
Perpendicular,Acute_and_obtuse_triangles,0
Altitude_(triangle),Line_segment,1
Rectangle,Convex_polygon,0
Edge_(geometry),Prism_(geometry),0
Equilateral_triangle,Edge_(geometry),1
Vertex_(geometry),Octagon,0
Slope,Sine,0
Square,Distance,0
Distance,Parallel_(geometry),0
Reflection_(mathematics),Distance,0
Pythagorean_triple,Point_(geometry),1
Polygon,Triangle_inequality,0
Collinearity,Circle,0
Special_right_triangles,Polygon,1
Rhombus,Point_(geometry),1
Cylinder_(geometry),Cross_section_(geometry),0
Geometry,Polyhedron,0
Hendecagon,Point_(geometry),1
Nonagon,Edge_(geometry),1
Convex_polygon,Line_segment,1
Grade_(slope),Slope,1
Rotation_(mathematics),Circle,0
Diagonal,Rectangle,0
Quadrilateral,Kite_(geometry),0
Altitude_(triangle),Perpendicular,1
Circumference,Pythagorean_theorem,0
Geometry,Chord_(geometry),0
Octagon,Rotational_symmetry,0
Geometry,Convex_polygon,0
Scale_factor,Distance,0
Internal_and_external_angle,Convex_polygon,0
Chord_(geometry),Line_segment,1
Altitude_(triangle),Angle,1
Chord_(geometry),Circle,1
Symmetry,Reflection_(mathematics),0
Skew_lines,Geometry,1
Diameter,Circle,1
Right_triangle,Pythagorean_theorem,0
Symmetry,Bisection,0
Tessellation,Geometry,1
Line_(geometry),Star_polygon,0
Right_triangle,Rectangle,0
Geometry,Heptagon,0
Angle,Pyramid_(geometry),0
Heptagon,Line_(geometry),1
Midpoint,Acute_and_obtuse_triangles,0
Arc_(geometry),Bisection,0
Slope,Angle,0
Cone,Circle,1
Kite_(geometry),Line_segment,1
Rectangle,Reflection_symmetry,0
Angle_bisector_theorem,Vertex_(geometry),1
Chord_(geometry),Arc_length,0
Parallel_(geometry),Rectangle,0
Dodecagon,Star_polygon,0
Octagon,Polygon,1
Perpendicular,Plane_(geometry),0
Special_right_triangles,Midpoint,0
Midpoint,Convex_polygon,0
Line_segment,Parallelogram,0
Polygon,Angle_bisector_theorem,0
Midpoint,Perpendicular,0
Reflection_(mathematics),Rotation_(mathematics),1
Isosceles_triangle,Point_(geometry),1
Geometry,Exterior_angle_theorem,0
Triangle,Special_right_triangles,0
Exterior_angle_theorem,Polygon,1
Bisection,Kite_(geometry),0
Line_(geometry),Acute_and_obtuse_triangles,0
Perpendicular,Right_triangle,0
Diagonal,Rhombus,0
Line_segment,Square,0
Point_(geometry),Prism_(geometry),0
Pythagorean_theorem,Geometry,1
Isosceles_triangle,Line_(geometry),1
Vertex_(geometry),Sphere,0
Parallelogram,Point_(geometry),1
Arc_length,Polygon,0
Trapezoid,Triangle,0
Sine,Vertex_(geometry),1
Polygon,Congruence_(geometry),0
Line_segment,Diagonal,0
Pyramid_(geometry),Point_(geometry),1
Edge_(geometry),Parallelogram,0
Angle,Pentagon,0
Pyramid_(geometry),Polygon,1
Midpoint,Symmetry,0
Line_segment,Acute_and_obtuse_triangles,0
Point_(geometry),Trigonometric_functions,0
Perpendicular,Point_(geometry),1
Right_triangle,Bisection,0
Perpendicular,Geometry,1
Reflection_(mathematics),Reflection_symmetry,0
Special_right_triangles,Trigonometric_functions,0
Radius,Perpendicular,0
Rhombus,Polyhedron,0
Angle_bisector_theorem,Bisection,1
Line_segment,Triangle_inequality,0
Polyhedron,Star_polygon,0
Parallelogram,Square,0
Altitude_(triangle),Edge_(geometry),1
Right_triangle,Edge_(geometry),1
Geometry,Distance,0
Cylinder_(geometry),Geometry,1
Line_segment,Midpoint,0
Acute_and_obtuse_triangles,Line_(geometry),1
Triangle,Rhombus,0
Line_segment,Arc_length,0
Triangle,Internal_and_external_angle,0
Angle_bisector_theorem,Internal_and_external_angle,0
Star_polygon,Polygon,1
Decagon,Vertex_(geometry),1
Two-dimensional_space,Equilateral_triangle,0
Internal_and_external_angle,Geometry,1
Inverse_trigonometric_functions,Sine,1
Inverse_trigonometric_functions,Vertex_(geometry),1
Square,Convex_polygon,0
Exterior_angle_theorem,Line_(geometry),1
Right_triangle,Special_right_triangles,0
Transversal_(geometry),Geometry,1
Kite_(geometry),Rectangle,0
Trapezoid,Diagonal,0
Equilateral_triangle,Point_(geometry),1
Polygon,Tangent,0
Vertex_(geometry),Tangent,0
Triangle,Line_segment,1
Parallelogram,Midpoint,0
Symmetry,Circle,0
Coordinate_system,Radius,0
Vertex_(geometry),Rhombus,0
Translation_(geometry),Geometry,1
Arc_length,Sphere,0
Convex_polygon,Line_(geometry),1
Inverse_trigonometric_functions,Circle,0
Vertex_(geometry),Convex_polygon,0
Polygon,Sine,0
Line_segment,Circle,0
Geometry,Skew_lines,0
Hexagon,Line_(geometry),1
Collinearity,Line_(geometry),1
Nonagon,Polygon,1
Bisection,Geometry,1
Polyhedron,Sphere,0
Angle,Parallelogram,0
Pyramid_(geometry),Vertex_(geometry),1
Triangle_inequality,Point_(geometry),1
Rhombus,Angle,1
Hexagon,Point_(geometry),1
Rotational_symmetry,Distance,0
Edge_(geometry),Equilateral_triangle,0
Special_right_triangles,Geometry,1
Slope,Trigonometric_functions,0
Trigonometric_functions,Secant_line,0
Vertex_(geometry),Polyhedron,0
Altitude_(triangle),Distance,1
Geometry,Isosceles_triangle,0
Square,Rhombus,0
Parallelogram,Quadrilateral,1
Tangent,Vertex_(geometry),1
Edge_(geometry),Pentagon,0
Triangle,Parallelogram,0
Reflection_symmetry,Rotation_(mathematics),1
Angle,Rotational_symmetry,0
Diameter,Circumference,0
Angle,Point_(geometry),1
Square,Rotational_symmetry,0
Sine,Inverse_trigonometric_functions,0
Diameter,Pythagorean_theorem,0
Line_(geometry),Bisection,0
Polygon,Acute_and_obtuse_triangles,0
Parallelogram,Vertex_(geometry),1
Polygon,Edge_(geometry),1
Parallel_(geometry),Prism_(geometry),0
Bisection,Angle,1
Similarity_(geometry),Geometry,1
Edge_(geometry),Nonagon,0
